public_filename,artifact_type,evidence_boundary,sanitization,source_evidence_id,release_status,sha256
artifact/EVIDENCE-MAP.md,authored evidence map,Boundaries 1-11,No operational values paths or identifiers,authored derivative,approved-for-public-release,1c2916771b82e36c225028af4f819e9dbf0124fef95f4afbf7f4dbdad8021471
artifact/CLAIM-TO-PAPER-MATRIX.md,authored claim-to-paper traceability matrix,Claims 1-6,No operational values paths credentials or identifiers,authored derivative,approved-for-public-release,8182bdae7781ad77191ab277ab48b091fe0b8b41d948556efbe6fb61f9f717e2
artifact/EVIDENCE-LINEAGE.md,authored evidence-lineage model,Cross-cutting evidence provenance,No restricted evidence content,authored derivative,approved-for-public-release,00dcc7b6f2b3fc229c3ff7b9a7f7b458fe88957074de0f8f937145ea79397c7b
artifact/SANITIZATION-MANIFEST.csv,authored sanitization manifest,Release boundary,Generic categories only,authored derivative,approved-for-public-release,7f66d79af7f2791c568b409ad56de8ba6e7e7c8bc0c8700911b983e0f05190e7
artifact/WITHHELD-ARTIFACTS.md,authored withholding record,Release boundary,Restricted filenames values paths and provenance omitted,authored derivative,approved-for-public-release,6b405ec6ce8e7d84d229ffa5d57aa436e4eb70fbf32674f83960cd233391e858
artifact/configuration/live-demo-workflow-provenance-sanitized.md,authored provenance summary,Boundaries 2-3,Operational scripts replaced by neutral IDs hashes and bounded description,live-demo-script-001; live-demo-script-002; live-demo-script-003,approved-for-public-release,ec8264ea40a13f126d259d166fa6432e13b7685a59bccdfdad4b5b8742ffce41
artifact/configuration/threshold-diff-sanitized.md,authored parsed-difference summary,Boundary 1,Raw XML credentials field names and exact values withheld; opaque labels used,config-baseline-001; config-variant-001,approved-for-public-release,bff21ca55e2dc736cd05c81a4263f64bf225581666b4b7556fdd8f002caf74aa
artifact/figures/Alarm-visual fail-safe.png,metadata-clean manuscript figure,Boundary 4,Metadata and visible identifiers reviewed; no source provenance,figure-alarm-observation,approved-for-public-release,aba7c56bfee607b2215a2de14e48a2e8caf00a75c9cf840af044c1d6f67895f0
artifact/figures/Semantic manipulation.png,losslessly metadata-cleaned manuscript figure,Boundary 3,Embedded authoring-tool metadata removed; pixels unchanged,figure-semantic-source; figure-semantic-sanitized,approved-for-public-release,f3d07b8bd3f78623e9a2d986201ce371ad3181f37e6784c6534a5e98e61db9d5
artifact/figures/unhandled_exception.jpg,losslessly metadata-cleaned manuscript figure,Boundary 7,Software metadata removed; pixels unchanged,figure-exception-source; figure-exception-sanitized,approved-for-public-release,1a6fb3b50a390e0db8a22721d8d9a740001f447f0d34539b1f10267d23ae0b8f
artifact/logs/exception-log-sanitized.txt,minimized device-log derivative,Boundary 7,Headers identifiers response filename and unrelated entries removed,log-exception-001,approved-for-public-release,dc2d8b547f3b9e4fe24ffe7431ef8c1ecb0f20e8eaaee123ef8c4451aec379e0
artifact/logs/firmware-update-log-sanitized.txt,minimized device-log derivative,Boundary 5,Headers identifiers response filename and unrelated operational history removed,log-update-001,approved-for-public-release,63b236aafb32c1087f30ec5fcbc892cf94f57b5b3615ce7c9c13bb4342ec6a8b
artifact/methodology/experimental-sequence.md,authored sanitized methodology description,Boundaries 1-6,Endpoints credentials request formats payload values and operational code omitted,author notes; live-demo script IDs,approved-for-public-release,b687f8b5cf0b63524d004a53255be17205428ea350cfce8867b7932cbab46248
artifact/methodology/phase-terminology-crosswalk.md,authored terminology crosswalk,Methodology context,No restricted evidence content,authored derivative,approved-for-public-release,b9739fe0577920f55f89774149bde1243e9310e3c864a12f889b6fe456186435
artifact/methodology/recovery-observations.md,authored sanitized recovery summary,Boundary 8,Raw notes and full system log withheld; hashes and bounded counts retained,author-note-001; author-note-002; log-system-001,approved-for-public-release,21688b9823970849c2d3ba5190cd52cb0fb501ed33d4523e8f8445b13db8aaae
artifact/reverse-engineering/README.md,author-created prose observation,Boundary 6,No firmware assembly decompiled source or method body included,firmware-image-2019.2; codebehind-assembly-2019.2; codebehind-decompiled-2019.2,approved-for-public-release,e5332e4d59d59362e331a88cadf5c02ec0aee02478ad12613c3c469cddc15aa2
artifact/supporting-materials/cvss-cwe-scoring-caveat.md,authored scoring boundary,Taxonomy and scoring,No operational data; limitations explicit,MITRE CWE 4.20 archive,approved-for-public-release,eb067a73e6ca3316c816676a4b502a1f05d81f9a365002e3cdc53478ec15b218
artifact/supporting-materials/cvss_cwe_scoring_notes.csv,authored scoring record,Table 2 findings,Credentials endpoints payloads and unmeasured consequences omitted,authored derivative,approved-for-public-release,807241619a7836ad268281dff95d946c9409fa6175eceb2644edfc4387de2dcd
artifact/supporting-materials/finding_to_evidence_index.csv,authored traceability index,Paper findings,No credentials endpoints payloads or restricted paths,authored derivative,approved-for-public-release,52ba2c2cdae9cca02452183534aaf1bd8088988609395ece7e69b490a5652f26
artifact/supporting-materials/hardcoded-credential-finding-sanitized.md,authored sanitized finding summary,Boundary 10,Credential username endpoint session mechanics code and reproduction details withheld,mainapplication-decompiled-2019.2; credential-validation-record-2015.1,approved-for-public-release,6afcf3b6278a0a97bed211cfadba0655359b8b3c1fc406b86e11c92bb4f8afbb
artifact/supporting-materials/non_operational_pseudocode.md,author-created non-operational pseudocode,Documentation aid,No live targets credentials endpoints exact values or executable upload behavior,authored derivative,approved-for-public-release,7ce63a8b21c38de4fe000dc943c290bf2a7983e8af4e4c9a38acc6eba85bb7d6
artifact/supporting-materials/phase_0_8_checklist.md,authored methodology summary,Methodology context,No restricted evidence content,authored derivative,approved-for-public-release,fdab604f2d9541f83dbfffa5561e178235224627e9fe7ea97a3b99433581e3bd
artifact/supporting-materials/safety_and_disclosure_note.md,authored policy note,Disclosure boundary,No restricted evidence content,authored derivative,approved-for-public-release,c32e91d5445fd257b8c675d769055e9aac4cf94f0d4a04fb33f786d3da3a24af
artifact/supporting-materials/source-evidence-id-table.md,authored provenance table,Traceability,Restricted paths filenames credentials and operational content omitted,neutral restricted IDs,approved-for-public-release,0f1af8c23b36ae574da9ffa99717fee82b216a890b4c889f3b326592e77622a2
artifact/supporting-materials/synthetic_configuration_example.xml,synthetic non-operational example,Documentation aid,Synthetic values only; not a device configuration,authored derivative,approved-for-public-release,8b4b0dd35818b858d2b4509af3d5844dacb2c826da94328d4c19f525e4912986
