Finding,Primary CWE,CVSS v3.1 vector,Author-assessed base score,Severity,Prioritization rationale,Notes
Cleartext administrative-secret storage in exported configuration,CWE-312,CVSS:3.1/AV:A/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,6.5,Medium,Cleartext administrative passwords and Bluetooth PINs create a direct confidentiality impact.,Downstream configuration integrity effects are scored separately; real secret values are withheld.
Missing authorization for configuration export,CWE-862,CVSS:3.1/AV:A/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,4.3,Medium,Direct unauthenticated access exposes configuration contents.,Embedded-secret disclosure is scored separately under CWE-312.
Insufficient authenticity verification of restored configuration state,CWE-345,CVSS:3.1/AV:A/AC:L/PR:H/UI:N/S:U/C:N/I:H/A:N,4.5,Medium,An authenticated administrative restore accepted selected modified or reused configuration state.,Operator-facing alarm and classification changes are observed effects; potential operational consequences are not included in CVSS.
Lack of authentication lockout or throttling (evidence-limited),CWE-307,Not scored,NA,Not rated,No direct technical impact is established by the preserved record.,No bounded failed-login series or successful credential-guessing trace is preserved.
Cleartext administrative transport,CWE-319,CVSS:3.1/AV:A/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,4.3,Medium,Observed HTTP management transport permits adjacent observation.,Interception session reuse and traffic modification were not demonstrated.
Cleartext telemetry-related channel (evidence-limited),CWE-319,Not scored,NA,Not rated,The preserved record does not establish a direct confidentiality integrity or availability impact.,Service and channel exposure was observed; decoded operational content and modification were not demonstrated.
Network-triggered uncaught exception and interface disruption,CWE-248,CVSS:3.1/AV:A/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H,5.3,Medium,A single aggressive-input event disrupted the interface and required manual recovery.,Potential field-use consequences are not included in CVSS; crash-triggering details are withheld.
"Missing authorization for system information, logs, and spectra",CWE-862,CVSS:3.1/AV:A/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,4.3,Medium,Direct requests exposed internal state event history and spectra.,Follow-on replay or workflow abuse was not demonstrated; raw logs and spectra are withheld.
Legacy third-party JavaScript components (evidence-limited),CWE-1104,Not scored,NA,Not rated,No component-specific exploitable condition or direct technical impact was demonstrated.,Observed component versions are retained as a maintenance concern.
Hardcoded administrative credential in software/firmware artifact,CWE-798,CVSS:3.1/AV:A/AC:L/PR:N/UI:N/S:U/C:H/I:L/A:N,7.1,High,Live-device validation confirmed the recovered hardcoded credential authenticated successfully and enabled privileged administrative access including retrieval of diagnostic logs and deletion of one diagnostic log.,Administrator-password modification was attempted but not confirmed successful; firmware installation and signature bypass were not demonstrated; credential value and reproduction details are withheld.
